log_case,shape_id,stroke_width,stroke_length,average_hue,hue_sd,average_saturation,saturation_sd,average_value,value_sd,label
DetR-large-scale.coco-segmentation/Lake Ridgefield,0,5.554854585052257,584,33.204084588644264,49.49479625025034,72.25086906141367,41.07574591518976,166.59849362688297,44.74145021533866,True
DetR-large-scale.coco-segmentation/Lake Ridgefield,1,4.94182422330964,592,35.662018047579984,52.493289945312945,93.62296964725185,59.38353749750599,184.932403609516,58.578445823181525,True
DetR-large-scale.coco-segmentation/Lake Ridgefield,2,4.9029015894986525,572,33.95137524557957,51.45096494832666,67.28061558611657,38.36711096515189,172.1185330713818,39.82417188528153,False
DetR-large-scale.coco-segmentation/Lake Ridgefield,3,5.2499517214057105,367,46.67926804745626,59.18072507920124,54.12366780615323,30.84113710361863,176.1170319726523,43.83913404387058,False
DetR-large-scale.coco-segmentation/Lake Ridgefield,4,6.238662914211334,344,41.63527467988435,51.67808542939859,46.875051631557206,27.98891695977137,202.15737298636927,48.800642431545874,True
DetR-large-scale.coco-segmentation/Lake Ridgefield,5,5.865655900590742,329,53.95106876126706,59.608717935751834,54.72727272727273,33.734813570229285,186.33582281740922,52.81257607198089,False
DetR-large-scale.coco-segmentation/Lake Ridgefield,6,5.734900099524764,321,42.83532401524778,53.62513608199444,53.79695044472681,34.82063228727657,186.69936467598475,51.4835791252467,True
DetR-large-scale.coco-segmentation/Lake Ridgefield,7,5.643234144593245,317,43.87216279676493,55.42146783740857,52.46830159144273,31.94818887525414,186.2207148447691,50.65462227630318,False
DetR-large-scale.coco-segmentation/Lake Ridgefield,8,5.664898542356504,327,36.56349006789037,49.43789193883332,51.091274830274074,29.53160394715089,190.46090017601207,50.556053556063226,False
DetR-large-scale.coco-segmentation/Lake Ridgefield,9,6.1130857077010985,324,30.667124362495095,46.171899183742184,51.70812083169871,29.001040564513413,193.19537073362102,47.28087615153291,False
DetR-large-scale.coco-segmentation/Lake Ridgefield,10,5.871909255457778,395,24.16131169261345,37.65468017552135,51.140609473335545,27.782228248504364,193.27509108976483,39.11997766043603,False
DetR-large-scale.coco-segmentation/Lake Ridgefield,11,5.206332883441238,695,20.77123928293063,32.66898659924775,80.81527669524552,44.02031245910489,181.47285009093272,34.866800741241846,True
DetR-large-scale.coco-segmentation/Lake Ridgefield,12,5.330564972911569,708,19.253511881318104,27.688503133921614,90.44361297098595,44.69459627330812,174.30786398844688,38.683944463670706,False
DetR-large-scale.coco-segmentation/Lake Ridgefield,13,5.853588701081318,696,18.84619140625,28.12887169785901,95.4739990234375,46.64487844637761,185.6170654296875,37.72630240749048,False
DetR-large-scale.coco-segmentation/Lake Ridgefield,14,5.983335444799258,718,18.6401922636759,28.486047157098078,104.38784618905927,53.28115525058509,172.83943694209202,34.368890214269534,False
DetR-large-scale.coco-segmentation/Lake Ridgefield,15,5.11635074329219,854,21.079013906447535,32.93234700892805,92.55257058575643,66.70693113562999,201.7157606405394,42.72452050721514,True
DetR-large-scale.coco-segmentation/Lake Ridgefield,16,5.596282666975188,724,18.38483547925608,26.58404975483951,98.69873628993801,49.602636216473705,180.38960419647114,39.82032663885283,False
DetR-large-scale.coco-segmentation/Lake Ridgefield,17,5.2782987188935335,405,28.28937728937729,42.64367394410406,62.73882783882784,33.24818309640572,191.8357142857143,40.55860327453808,False
DetR-large-scale.coco-segmentation/Lake Ridgefield,18,5.186736418802051,335,35.57789522058823,50.62211228492496,62.01999080882353,32.745134842939166,185.37063419117646,46.000347582630305,False
DetR-large-scale.coco-segmentation/Lake Ridgefield,19,5.336969725241459,315,35.57890477475047,47.372453578706846,57.343943889937954,38.299609943281155,198.47181008902078,53.70652250447505,True
DetR-large-scale.coco-segmentation/Lake Ridgefield,20,5.440626373435331,286,46.310255673657,58.39200488896836,61.32548118356794,33.79827712011576,188.54237288135593,50.163404348992245,False
DetR-large-scale.coco-segmentation/Lake Ridgefield,21,6.547590270303981,296,39.929763560500696,52.35711004502412,58.81223922114047,34.82600606733454,184.4823829392675,52.146847769457764,True
DetR-large-scale.coco-segmentation/Lake Ridgefield,22,5.962541997102027,299,25.06190681622088,35.136536446133796,54.8364969801553,36.5629578198543,198.02480586712684,50.00572475278388,True
DetR-large-scale.coco-segmentation/Lake Ridgefield,23,5.663909058137999,367,24.45154103230598,35.30465743044385,51.422020051986635,27.430192762963536,185.1732268845154,45.06569322831584,False
DetR-large-scale.coco-segmentation/Lake Ridgefield,24,5.942183020197287,566,24.843484224965707,31.21734599130481,49.52510288065844,40.15785024593416,210.3991769547325,51.25070362535051,True
DetR-large-scale.coco-segmentation/Lake Ridgefield,25,4.22508026402773,1682,33.3731676419135,49.95920612808022,68.02087229293599,50.41521675889286,183.1173312420824,52.134980095215454,True
DetR-large-scale.coco-segmentation/Lake Ridgefield,26,4.952318807191728,575,34.88003327787022,51.75530952368466,67.41680532445923,38.73734864628019,170.41314475873543,43.118362734676566,False
DetR-large-scale.coco-segmentation/Lake Ridgefield,27,5.696466284151501,613,34.50657983991317,52.60355980593824,69.1674128340795,39.94642901046605,163.4734771401438,44.211228109172666,True
DetR-large-scale.coco-segmentation/South Cleardale,0,5.467797375148475,215,0.0,0.0,0.0,0.0,183.99485861182518,75.75891931194768,False
DetR-large-scale.coco-segmentation/South Cleardale,1,5.380489653875403,164,0.0,0.0,0.0,0.0,194.67874794069192,68.71519214715619,False
DetR-large-scale.coco-segmentation/South Cleardale,2,4.540448668078554,312,0.0,0.0,0.0,0.0,82.88720379146919,76.32261436448076,True
DetR-large-scale.coco-segmentation/South Cleardale,3,4.8105090367512915,339,0.0,0.0,0.0,0.0,117.11035845328817,61.45322586940242,False
DetR-large-scale.coco-segmentation/South Cleardale,4,5.607863704819159,306,0.0,0.0,0.0,0.0,166.4783653846154,60.44680558513982,False
DetR-large-scale.coco-segmentation/South Cleardale,5,5.685204520008329,397,0.0,0.0,0.0,0.0,162.83925811437405,83.6053998208388,False
DetR-large-scale.coco-segmentation/South Cleardale,6,5.469063508889784,453,0.0,0.0,0.0,0.0,107.66470588235295,64.24848901702458,False
DetR-large-scale.coco-segmentation/South Cleardale,7,5.896780735433379,552,0.0,0.0,0.0,0.0,198.02931402800854,61.261717838837036,False
DetR-large-scale.coco-segmentation/South Cleardale,8,6.428952943026245,621,0.0,0.0,0.0,0.0,189.9630861680438,67.9663422803873,False
DetR-large-scale.coco-segmentation/South Cleardale,9,5.736272201180531,479,0.0,0.0,0.0,0.0,116.67094017094017,60.227011831874904,False
DetR-large-scale.coco-segmentation/South Cleardale,10,5.550765640838011,385,0.0,0.0,0.0,0.0,145.91511627906976,71.41489327024465,False
DetR-large-scale.coco-segmentation/South Cleardale,11,5.830152029008313,298,0.0,0.0,0.0,0.0,165.99714536671058,72.89579462296278,False
DetR-large-scale.coco-segmentation/South Cleardale,12,4.65562177862623,383,0.0,0.0,0.0,0.0,141.67116320212295,84.14238635089326,True
DetR-large-scale.coco-segmentation/South Cleardale,13,6.261412276983332,275,0.0,0.0,0.0,0.0,136.46108897742363,83.44947266812633,False
DetR-large-scale.coco-segmentation/South Cleardale,14,6.120395917214684,268,0.0,0.0,0.0,0.0,146.40752913056468,79.35427728643742,False
DetR-large-scale.coco-segmentation/South Cleardale,15,9.116396021222421,394,0.0,0.0,0.0,0.0,90.61165279429251,77.98660488812776,True
DetR-large-scale.coco-segmentation/South Cleardale,16,5.799166659286244,260,0.0,0.0,0.0,0.0,157.4099547511312,78.40809411132182,False
DetR-large-scale.coco-segmentation/South Cleardale,17,5.829707697852494,248,0.0,0.0,0.0,0.0,189.6765445904389,72.33574756094117,True
DetR-large-scale.coco-segmentation/South Cleardale,18,5.590019186217089,269,0.0,0.0,0.0,0.0,140.73155737704917,71.12815568439855,True
DetR-large-scale.coco-segmentation/South Cleardale,19,4.207337491880478,613,0.0,0.0,0.0,0.0,125.16245984396512,82.54474865931367,True
DetR-large-scale.coco-segmentation/South Cleardale,20,7.382765606990154,562,0.0,0.0,0.0,0.0,126.60820772362196,81.03706579284696,True
DetR-large-scale.coco-segmentation/South Cleardale,21,2.614188927552149,1602,0.0,0.0,0.0,0.0,110.92994785762866,85.58410446823915,True
DetR-large-scale.coco-segmentation/South Cleardale,22,5.944814634583279,371,0.0,0.0,0.0,0.0,188.15971088831895,74.11050459680325,False
DetR-large-scale.coco-segmentation/South Cleardale,23,4.811545810544847,334,0.0,0.0,0.0,0.0,150.62825059101655,59.064171384892994,False
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,0,4.970273600707692,232,0.0,0.0,0.0,0.0,85.73055332798717,73.67198735519925,True
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,1,5.1948503427322335,167,0.0,0.0,0.0,0.0,214.01056729699667,55.475108404713005,True
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,2,4.994241018025334,329,0.0,0.0,0.0,0.0,191.03367289190717,64.99193932198396,False
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,3,4.976563227305914,330,0.0,0.0,0.0,0.0,195.94537011745425,61.155921453028974,False
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,4,5.3445646956475965,312,0.0,0.0,0.0,0.0,201.68645889306825,58.04595054267839,False
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,5,5.110385456066729,308,0.0,0.0,0.0,0.0,197.00087108013938,61.92625385714015,True
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,6,5.205237533462294,476,0.0,0.0,0.0,0.0,161.88092855713427,73.34888455742043,False
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,7,4.262156163076343,1685,0.0,0.0,0.0,0.0,74.57026836158192,75.26933594962225,True
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,8,5.226150094076455,407,0.0,0.0,0.0,0.0,127.25995846705682,75.4587168039659,False
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,9,5.70534806126167,435,0.0,0.0,0.0,0.0,153.52375077112893,79.42770249260869,True
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,10,6.237277498481952,543,0.0,0.0,0.0,0.0,162.28561752088507,77.27313964793338,False
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,11,6.08421963374081,617,0.0,0.0,0.0,0.0,162.67263513513512,67.20673308445286,False
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,12,5.414145768702157,465,0.0,0.0,0.0,0.0,159.04014049172102,71.73487541595065,False
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,13,4.508622089736564,383,0.0,0.0,0.0,0.0,157.79541696196551,63.55273304440149,False
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,14,5.772952292656962,293,0.0,0.0,0.0,0.0,139.35531215772178,68.25165675071925,False
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,15,5.136230689629799,279,0.0,0.0,0.0,0.0,142.17120836774015,71.04457048909494,False
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,16,5.3021574870659895,277,0.0,0.0,0.0,0.0,136.13091579594345,74.99964398577852,True
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,17,6.137358145643342,271,0.0,0.0,0.0,0.0,124.00340328984686,77.6051277886494,False
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,18,5.355260031026372,279,0.0,0.0,0.0,0.0,135.7543808411215,74.81616182858824,False
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,19,7.652170826365116,334,0.0,0.0,0.0,0.0,130.4809183064997,87.78846356302175,True
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,20,3.5868303056507838,802,0.0,0.0,0.0,0.0,119.59246119733925,94.14546733270583,True
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,21,2.081169988523712,840,0.0,0.0,0.0,0.0,172.28993630573248,86.19377968672589,True
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,22,5.149540486386381,282,0.0,0.0,0.0,0.0,152.53452768729642,75.92428046970262,False
UNISEM-ZN1461.coco-segmentation/Lake Marshwood,23,66.07464175821947,686,0.0,0.0,0.0,0.0,39.728002808618946,39.971878780324275,True
DetR-large-scale.coco-segmentation/Marsh Valley,0,4.641562008426081,384,29.729109776078644,41.337329242287446,69.5210267613326,49.4794306570759,176.25696340797379,58.56950106316296,True
DetR-large-scale.coco-segmentation/Marsh Valley,1,4.651736613027604,273,44.787050898203596,55.78893149389888,67.13211077844312,47.3907756383507,175.4498502994012,60.93900725125089,True
DetR-large-scale.coco-segmentation/Marsh Valley,2,4.38600819364871,287,20.63791763791764,16.761090788738567,116.73154623154623,31.817769163106092,182.14491064491065,53.26586987629963,False
DetR-large-scale.coco-segmentation/Marsh Valley,3,4.4708732656550305,345,20.847444298820445,16.156274928016348,111.25347313237222,26.431284788888885,175.63617300131062,47.09703045160409,False
DetR-large-scale.coco-segmentation/Marsh Valley,4,7.431436006270486,445,30.7901626842908,41.131070267576916,79.04346720894763,52.41149017889651,187.03279105236402,59.32263334627274,True
DetR-large-scale.coco-segmentation/Marsh Valley,5,5.049492897089064,561,23.233120224543896,26.891307940220035,108.03757991579604,31.257540348959264,176.6839232808358,53.50770147395973,False
DetR-large-scale.coco-segmentation/Marsh Valley,6,4.980361743826648,605,22.262905655210186,23.160949457679518,92.11844447487334,48.395836561756916,193.79022319594688,52.451549889840145,True
DetR-large-scale.coco-segmentation/Marsh Valley,7,4.421999902587452,436,21.429750223015166,18.657680073314705,110.20539696699376,28.80821039283382,174.71320249776986,51.78470746648056,True
DetR-large-scale.coco-segmentation/Marsh Valley,8,4.747137307471991,372,20.89371740749938,14.499330032991683,115.1934442513037,23.131018774206915,182.37621057859448,52.21846489252786,False
DetR-large-scale.coco-segmentation/Marsh Valley,9,8.020414497647689,407,24.823882224645583,29.369163625481125,82.54811886586695,47.546276909275726,191.00886041439477,52.911883839853516,True
DetR-large-scale.coco-segmentation/Marsh Valley,10,5.752077666910339,336,39.25200097016735,54.87798113748288,49.79553723017221,43.757247798209235,176.90249818093622,59.57033236235158,True
DetR-large-scale.coco-segmentation/Marsh Valley,11,5.027450676262829,355,20.98296296296296,16.88194173230524,107.25111111111111,30.762810721011665,176.64197530864197,52.802690878395495,False
DetR-large-scale.coco-segmentation/Marsh Valley,12,5.063430330329288,391,47.337659380692166,55.36803970149847,61.00478142076503,44.99653624493197,157.0403005464481,61.69056520151481,True
DetR-large-scale.coco-segmentation/Marsh Valley,13,5.665827185510946,369,21.09945641232132,19.066712738043073,102.1725387557882,32.11722016837898,174.20918059190657,50.84033055622315,False
DetR-large-scale.coco-segmentation/Marsh Valley,14,5.071510458855241,368,53.65464762350737,61.66331724240555,53.28798876141419,34.438751069598574,151.42542730039804,56.828371659524066,True
DetR-large-scale.coco-segmentation/Marsh Valley,15,7.119050474741305,433,22.81931735657226,30.96924993690596,92.27015250544662,53.52059650956134,189.00246913580247,57.24043362469544,True
DetR-large-scale.coco-segmentation/Marsh Valley,16,4.9019203632029855,302,23.938727645851657,28.664018787520003,115.6426267956611,34.77980051991662,173.14423922603342,54.72867708670957,False
DetR-large-scale.coco-segmentation/Marsh Valley,17,5.22812469775556,308,24.86913113869401,30.13395855738908,111.74365893146249,35.95290766186968,173.7266594711279,54.31280477529366,False
DetR-large-scale.coco-segmentation/Marsh Valley,18,5.100255339946979,270,26.288276745675848,33.45786526207589,108.07174887892377,33.299660204201565,169.53042921204357,55.97718376490652,False
DetR-large-scale.coco-segmentation/Marsh Valley,19,4.545315092499204,277,24.834026465028355,28.55803719975365,110.83931947069944,33.582022774114606,168.17013232514176,53.64339805773845,False
